,Higher education [x],Vaccination [y]
1129,18.7,75.4
1130,12.8,44.7
1131,13.2,50.3
1132,17.3,39.9
1133,19.9,63.2
1134,37.0,74.3
1135,45.3,66.1
1136,21.7,40.9
1137,29.4,69.0
1138,53.3,75.3
1139,17.2,45.4
1140,29.3,91.9
1141,15.1,53.0
1142,27.2,47.2
1143,11.2,42.1
1144,25.0,46.1
1145,15.8,46.8
1146,15.2,38.8
1147,20.4,74.8
1148,18.2,69.4
1149,21.9,51.1
1150,16.4,38.7
1151,15.5,55.4
1152,45.3,59.2
1153,37.4,55.6
1154,15.1,44.3
1155,19.7,90.7
1156,21.7,47.7
1157,12.5,39.8
1158,20.0,49.8
1159,15.3,36.0
1160,18.5,50.2
1161,20.2,67.4
1162,18.5,41.7
1163,18.9,47.2
1164,19.9,56.7
1165,48.9,67.7
1166,31.6,72.2
1167,16.1,36.2
1168,23.4,46.4
1169,22.1,50.8
1170,39.7,69.1
1171,30.2,58.3
1172,53.6,85.2
1173,18.9,49.2
1174,16.6,45.8
1175,20.4,32.7
1176,28.5,70.2
1177,20.7,35.2
1178,16.6,45.4
1179,23.5,48.4
1180,20.1,55.3
1181,30.0,71.6
1182,31.3,65.3
1183,23.3,55.2
1184,38.0,70.3
1185,17.5,56.1
1186,32.4,48.7
1187,15.1,47.8
1188,14.0,60.4
1189,16.7,29.9
1190,24.1,49.3
1191,13.4,33.6
1192,18.4,58.4
1193,19.4,38.6
1194,29.3,35.4
1195,24.3,58.4
1196,16.0,48.8
1197,27.9,37.5
1198,14.6,55.0
1199,8.2,68.8
1200,20.5,49.1
1201,24.1,52.1
1202,24.2,37.3
1203,0.0,20.1
1204,34.9,55.2
1205,35.3,70.7
1206,15.2,61.2
1207,21.5,58.1
1208,38.5,76.5
1209,22.3,60.3
1210,24.5,56.9
1211,21.8,58.4
1212,19.1,49.8
1213,13.5,54.7
1214,13.8,43.9
1215,9.4,52.6
1216,26.2,54.5
1217,19.0,43.2
1218,21.5,49.8
1219,12.7,38.8
1220,23.6,34.6
1221,27.9,46.9
1222,17.5,41.5
1223,19.1,68.1
1224,16.7,55.1
1225,31.8,68.8
1226,13.8,42.2
1227,13.8,44.5
1228,21.4,38.2
1229,11.9,57.4
1230,40.1,63.5
1231,40.8,61.0
1232,23.8,14.8
1233,12.4,39.3
1234,11.6,43.9
1235,15.9,58.7
1236,15.8,48.7
1237,23.1,42.6
1238,16.3,48.8
1239,22.4,49.2
1240,19.9,43.6
1241,22.8,61.0
1242,12.3,36.8
1243,21.1,59.3
1244,9.7,47.9
1245,13.6,45.8
1246,41.0,71.5
1247,54.8,53.4
1248,13.9,38.5
1249,18.8,95.0
1250,15.7,46.3
1251,17.8,49.0
1252,17.2,76.7
1253,12.1,35.2
1254,24.3,48.8
1255,43.7,64.8
